Year,Month,Bakerloo,Central,Jubilee,Northern,Piccadilly,Victoria,Waterloo_and_City,Sub-surface_lines
2022,July,29.44,30.26,26.3,28.39,27.67,30.82,23.99,26.76
2022,August,30.4,31.32,26.86,29.15,28.39,31.18,24.96,27.39
2022,September,29.21,29.62,24.97,28.14,26.93,30.84,23.43,23.32
2022,October,27.58,27.97,23.38,26.93,25.33,29.89,22.21,21.14
2022,November,26.02,25.82,21.27,25.31,23.43,27.32,20.27,17.5
2022,December,23.35,22.82,17.34,22.73,20.59,25.8,15.97,12.21
2023,January,22.88,23.36,18.59,22.72,20.5,26,17.34,13.45
2023,February,22.98,23.39,19.05,22.71,20.59,25.92,17.68,14.74
2023,March,23.11,23.12,18.61,22.36,20.56,25.38,17.71,14.68
2023,April,24.09,24.46,20.35,23.71,21.91,26.48,18.69,16.84
2023,May,25.73,26.65,21.87,25.18,23.86,28.22,20.42,20.41
2023,June,28.03,29.67,24.73,27.46,26.38,30.33,22.94,25.23
2023,July,28.65,29.99,25.18,28,27,30.59,23.48,24.36
2023,August,28.85,30.18,25.42,28.39,27.09,30.61,23.74,24.75
2023,September,29.65,30.89,25.82,28.8,27.39,31.25,24.13,25.42
2023,October,28.07,29.06,23.81,27.16,25.74,30.28,22.25,21.01
2023,November,25.61,26.1,20.49,24.69,22.99,27.82,19.59,16.12
2023,December,24.06,24.5,18.52,23.37,21.61,26.35,18.26,14.78
2024,January,22.9,23.3,17.4,22.4,20.5,25.7,17.1,13.1
2024,February,24,24.4,19.6,23.2,21.2,26.6,18.4,15.4
2024,March,24.2,24.7,20.7,23.3,21.5,26.2,18.5,15.7
2024,April,24.7,25.3,21.2,23.9,22.5,27.1,19.4,17.4
2024,May,26.6,27.5,22.9,25.4,24.3,28.5,21.1,21
2024,June,27.9,28.8,24.2,26.8,25.6,29.6,22.2,22.9
2024,July,29,29.8,25.3,27.9,26.7,30.7,23.4,24.6
2024,August,29.9,30.6,26.2,28.8,27.4,31.1,24.1,25.7
2024,September,29,29.1,24.9,27.9,26,30.2,23.8,23.4
2024,October,27.5,27.5,22.8,26.5,24.5,29.1,21.5,19.7
2024,November,26.2,26.1,20.2,24.8,22.5,27.1,19.3,16.1
2024,December,25.2,24.7,19.1,23.2,20.5,26,17.9,14.7
