"Title","Link","Metascore","ReleaseDate","Description","Developer","Publisher","Platforms","Genre"
"Metroid Prime","https://www.metacritic.com/game/metroid-prime/","97",2002-11-17,"Samus returns in a new mission to unravel the mystery behind the ruined walls scattered across Tallon IV. In Metroid Prime, you'll play the role of this bounty hunter and view the world through her visor, which displays information ranging from current energy levels to ammunition. Equipped with a Power Beam and Gravity Suit, you must shoot locked switches, solve puzzles, and eliminate enemies. It's up to you to explore the world and recover more power-ups and weapons, which gradually open more gameplay areas.","Retro Studios","Nintendo","GameCube, Wii","FPS"
"Grand Theft Auto III","https://www.metacritic.com/game/grand-theft-auto-iii/","97",2001-10-22,"Players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city with a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, and a huge array of street ready weapons.  [Rockstar Games]","DMA Design","Rockstar Games","PlayStation 2, PC, iOS (iPhone/iPad), Xbox, PlayStation 4, Game Boy Advance","Open-World Action"
"Super Mario Odyssey","https://www.metacritic.com/game/super-mario-odyssey/","97",2017-10-27,"New Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship, and perform all-new actions, such as throwing Mario's cap.","Nintendo","Nintendo","Nintendo Switch","3D Platformer"
"Halo: Combat Evolved","https://www.metacritic.com/game/halo-combat-evolved/","97",2001-11-15,"In a desperate attempt to keep a conquering alien race called the Covenant from finding Earth, you--a cybernteically enhanced soldier representing the peak of human military evolution--and a ragtag group of Marines flee to a distant uncharted system where you unexpectedly stumble across Halo, an enormous alien artifact in orbit between a gas giant and its moon. Your objective: Uncover Halo's horrible secret, and destroy mankind's nemesis - the Covenant. [Microsoft]","Bungie","Microsoft Game Studios","PC, Xbox","FPS"
"NFL 2K1","https://www.metacritic.com/game/nfl-2k1/","97",2000-09-07,"In the end, NFL 2K1 is a deeper, more refined version of the original game.","Visual Concepts","Sega","Dreamcast","Football Sim"
"Half-Life 2","https://www.metacritic.com/game/half-life-2/","96",2004-11-16,"[Metacritic's 2004 PC Game of the Year]  By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around him, from the physical environment to the behaviors -- even the emotions -- of both friends and enemies. The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people -- people he cares about -- are counting on him. [Vivendi Universal]","Valve Software","VU Games","Xbox, PC","FPS"
"BioShock","https://www.metacritic.com/game/bioshock/","96",2007-08-21,"[Metacritic's 2007 Xbox 360 Game of the Year] Going beyond ""run and gun corridors,"" ""monster-closet AIs"" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend into Rapture, a city hidden beneath the sea. Constructed as an idealistic society for a hand picked group of scientists, artists and industrialists, the idealism is no more. Now the city is littered with corpses, wildly powerful guardians roam the corridors as little girls loot the dead, and genetically mutated citizens ambush you at every turn. Take control of your world by hacking mechanical devices, commandeering security turrets and crafting unique items critical to your very survival. Upgrade your weapons with ionic gels, explosives and toxins to customize them to the enemy and environment. Genetically modify your body through dozens of Plasmid Stations scattered throughout the city, empowering you with fantastic and often grotesque abilities. Explore a living world powered by Ecological A.I., where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience. Experience truly next generation graphics that vividly illustrate the forlorn art deco city, highlighted by the most detailed and realistic water effects ever developed in a video game. Make meaningful choices and mature decisions, ultimately culminating in the grand question: do you exploit the innocent survivors of Rapture...or save them? [2K Games]","Irrational Games, 2K Marin","2K Games","PC, Xbox 360, PlayStation 3, iOS (iPhone/iPad)","FPS"
"GoldenEye 007","https://www.metacritic.com/game/goldeneye-007/","96",1997-08-25,"You are Bond. James Bond. You are assigned covert operations connected with the GoldenEye weapons satellite. M will brief you on your mission and objectives from London. Q Branch will support your efforts with a plentiful supply of weapons and gadgets. Moneypenny offers you light-hearted best wishes and you're off! Your mission begins in the heavily guarded chemical warfare facility at the Byelomorye Dam in the USSR. Look and shoot in any direction as you navigate 12 interactive 3-D environments. Use stealth and force as you see fit in matters of international security. Consider the military personnel expendable. You are licensed to kill!","Rare Ltd.","Nintendo","Nintendo 64, Xbox 360, Xbox One, Xbox Series X","FPS"
"Uncharted 2: Among Thieves","https://www.metacritic.com/game/uncharted-2-among-thieves/","96",2009-10-13,"Fortune hunter Nathan Drake returns in Uncharted 2: Among Thieves, a third-person action-adventure/shooter created by award-winning developer Naughty Dog. Down on his luck, Drake is lured back into the treacherous world of thieves and mercenary treasure-seekers he had sought to leave behind. When a mysterious artifact propels Drake on an expedition to find the legendary Himalayan valley of Shambhala, he finds himself embroiled in a dangerous game of cat-and-mouse against a fugitive war criminal who’s after more than just the fabled riches of the lost city. Caught in a web of deception and plunged into an increasingly deadly pursuit that tests the limits of his endurance, Drake will be forced to risk everything - but has his luck finally run out? [SCEA]","Naughty Dog","SCEA","PlayStation 3","Linear Action Adventure"
"Resident Evil 4 (2005)","https://www.metacritic.com/game/resident-evil-4-2005/","96",2005-01-11,"Resident Evil 4 marks a new chapter in the Resident Evil series. You'll rejoin Leon S. Kennedy six years after his first mission as a rookie cop from Resident Evil 2. Now a US agent, Leon is on a top secret mission to investigate the disappearance of the president's daughter. As Leon, you must make your way to a mysterious location in Europe, where new enemies await. Take them down by using enhanced aim-and-shoot features and a new action button.","Capcom","Capcom","GameCube, PlayStation 2, PC, Wii","Survival"
"Baldur's Gate 3","https://www.metacritic.com/game/baldurs-gate-3/","96",2023-08-03,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power. Mysterious abilities are awakening inside you, drawn from a mind flayer parasite planted in your brain. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.","Larian Studios Games","Larian Studios Games","PC, PlayStation 5, Xbox Series X","Western RPG"
"The Orange Box","https://www.metacritic.com/game/the-orange-box/","96",2007-10-10,"Games included in The Orange Box compilation: The original Half-Life 2 - The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people - people he cares about - are counting on him. Half-Life 2: Episode One - The player reprises his role of Dr. Freeman, who must immediately face the repercussions of his actions in City 17 and the Citadel. Freeman reconnects with Alyx Vance and her robot, Dog, as they continue their support of the resistance's battle against the Combine forces.  Half-Life 2: Episode Two -- the second installment in Valve's episodic trilogy advances the award-winning story, leading the player to new locations outside of City 17. Portal - a pioneering type of single player action game that rewrites the rules for how players approach and manipulate their environment – much like how Half-Life 2's Gravity Gun reinvented the way gamers interact with objects in the game. Team Fortress 2 - an all-new version of the legendary title that spawned team based multiplayer action games. The game's daring new art style features the most advanced graphics of any Source-based game released to date. [Valve Software]","Valve Software","EA Games","PC, Xbox 360, PlayStation 3","Compilation"
"Tekken 3","https://www.metacritic.com/game/tekken-3/","96",1998-04-29,"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind.","Namco","Namco","PlayStation, Dreamcast","3D Fighting"
"Mass Effect 2","https://www.metacritic.com/game/mass-effect-2/","96",2010-01-26,"The Mass Effect trilogy is a science fiction adventure set in a vast universe filled with dangerous alien life forms and mysterious uncharted planets. In this dark second chapter, Saren’s evil army of Geth soldiers has just been defeated, and humans, who are still struggling to make their mark on the galactic stage, are now faced with an even greater peril. [BioWare]","BioWare","Electronic Arts","PC, Xbox 360, PlayStation 3","Western RPG"
"The House in Fata Morgana - Dreams of the Revenants Edition -","https://www.metacritic.com/game/the-house-in-fata-morgana-dreams-of-the-revenants/","96",2021-04-09,"A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more:
    1: The House in Fata Morgana: the main storyline.
    2: A Requiem for Innocence: a prequel shedding light on the origins of Fata Morgana’s terrible curse.
    3: Reincarnation: a sequel featuring the central cast members reincarnated in the present day. *The part including voices
    4: Other additional short stories.","HuneX","Limited Run Games","Nintendo Switch","Visual Novel"
"Elden Ring","https://www.metacritic.com/game/elden-ring/","96",2022-02-25,"A New World Created By Hidetaka Miyazaki And George R. R. Martin

ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date. 

Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice. 

George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.","From Software","Bandai Namco Games","Xbox One, PC, PlayStation 4, Xbox Series X, PlayStation 5","Action RPG"
"The Elder Scrolls V: Skyrim","https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/","96",2011-11-11,"The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself.","Bethesda Game Studios","Bethesda Softworks","Xbox 360, PlayStation 3, PC","Western RPG"
"Half-Life","https://www.metacritic.com/game/half-life/","96",1998-11-19,"Half-Life combines great storytelling in the tradition of Stephen King with intense action and advanced technology to create a frighteningly realistic world where players need to think smart to survive. Half-Life has won more than 50 Game of the Year awards from publications around the world, and was named 'Best PC Game Ever' in PC Gamer's November 1999 issue. [Sierra]","Valve Software","Sierra Entertainment","PC, Dreamcast, PlayStation 2","FPS"
"The Legend of Zelda: Tears of the Kingdom","https://www.metacritic.com/game/the-legend-of-zelda-tears-of-the-kingdom/","96",2023-05-12,"An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda™: Tears of the Kingdom for Nintendo Switch™. The adventure is yours to create in a world fueled by your imagination. In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link’s new abilities to fight back against the malevolent forces that threaten the kingdom?","Nintendo","Nintendo","Nintendo Switch","Open-World Action"
"The Legend of Zelda: The Wind Waker","https://www.metacritic.com/game/the-legend-of-zelda-the-wind-waker/","96",2003-03-24,"AN EVIL WIND IS RISING...

Legend has it that whenever evil has appeared, a hero named Link has arisen to defeat it. The legend continues on the surface of a vast and mysterious sea as Link sets sail in his most epic, awe-inspiring adventure yet. Aided by a magical conductor's baton called the Wind Waker, he will face unimaginable monsters, explore puzzling dungeons, and meet a cast of unforgettable characters as he searches for his kidnapped sister.

* Immerse yourself in a world unlike you've ever seen, as you sail across a vast, unexplored ocean.
* Master a magical conductor's baton known as the Wind Waker to control the wind and much more! 
* Connect to a pal's Game Boy® Advance and play cooperatively -- get hints, uncover secrets, and get help in battle! 
* Use new items like the Grappling Hook and Deku Leaf to take the fight to spectacular, massive bosses. 
* Take on hordes of incredibly animated enemies as you search through riddle-filled dungeons.","Nintendo","Nintendo","GameCube","Open-World Action"
"Gran Turismo","https://www.metacritic.com/game/gran-turismo/","96",1998-05-12,"With authentic cars, courses, and car physics, Gran Turismo 4 adds an even more realistic racing simulation to the series. The characteristics of each car take into account weight, speed, friction, and more to deliver realistic handling. Test-drive new vehicles in courses located in various sites, such as Nurburgring Nordschleife, New York City, the Grand Canyon, and Tsukuba Circuit. The PSP version of Gran Turismo 4 lets you race against your friends via wireless network.","Polyphony Digital","SCEA","PlayStation","Auto Racing Sim"
"Metal Gear Solid 2: Sons of Liberty","https://www.metacritic.com/game/metal-gear-solid-2-sons-of-liberty/","96",2001-11-12,"Since the incident on Shadow Moses Island, Metal Gear's top-secret technology has been leaked into the black market through the machinations of Revolver Ocelot. As a result, countless variations of Metal Gears have sprung up in every corner of the globe, making the weapon an increasingly common component of the armed forces of nuclear powers. 
In the midst of all of this, Solid Snake, now a member of the anti-Metal Gear group ""Philanthropy,"" has learned that a new prototype Metal Gear has been developed by the U.S. Marines and is being transported in secret to an unknown destination. To learn more about this new machine, Snake must infiltrate the transport, disguised as a tanker, as it makes its way down the Hudson River. Just as Snake is about to begin his mission, however, the ship is seized by a mysterious and well-armed group bent on stealing the new Metal Gear for their own, nefarious purposes. [Konami]","KCEJ","Konami","PlayStation 2","Action Adventure"
"Grand Theft Auto Double Pack","https://www.metacritic.com/game/grand-theft-auto-double-pack/","96",2003-11-04,"From the dark and seedy streets of Liberty City's underworld to the glamorous hedonism of Vice City of the 1980s, the Grand Theft Auto double-pack takes you through the huge worlds of Grand Theft Auto III and it's sequel Vice City. The highly controversial Grand Theft Auto III gives you the freedom to go anywhere and jack anyone, putting the dark, intriguing and ruthless world of crime at your fingertips. Vice City is an entirely new game set in the '80s, preserving and adding to the free-roaming gameplay, cinematic graphics and immersive audio experience that made the Grand Theft Auto III so popular.","Rockstar Vienna","Rockstar Games","Xbox, PlayStation 2","Compilation"
"Portal: Companion Collection","https://www.metacritic.com/game/portal-companion-collection/","95",2022-06-28,"Including Portal and Portal 2, the Companion Collection comes to Nintendo Switch with all the groundbreaking gameplay, dark humor, and exploration that earned the series hundreds of awards.

In Portal, you'll use a highly experimental portal device to solve physical puzzles and challenges. Maneuver objects--and yourself--through space to puzzle your way through the mysterious Aperture Science Laboratories.

Return to Aperture Laboratories in Portal 2 where you'll once again face off with the lethally inventive, power-mad A.I. named GLaDOS. Meet an expanded cast of characters as you think your way through dangerous, never-before-seen areas of the laboratories and a wider variety of portal puzzles. Plus Portal 2 also includes a co-operative game mode with local, split-screen and online multiplayer so you and a friend can think with portals.","Valve Software","Valve Software","Nintendo Switch","Compilation"
"Baldur's Gate II: Shadows of Amn","https://www.metacritic.com/game/baldurs-gate-ii-shadows-of-amn/","95",2000-09-24,"An epic continuation of the story that began in ""Baldur's Gate,"" this RPG is set along the southern portion of the Sword Coast, a detailed and rich area of the Forgotten Realms called Amn. It features 300 spells and 130-plus monster types compared to only 130 spells and 60 monster types in Baldur's Gate. [Interplay]","BioWare","Interplay","PC","Western RPG"
"Grand Theft Auto: San Andreas","https://www.metacritic.com/game/grand-theft-auto-san-andreas/","95",2004-10-26,"[Metacritic's 2004 PS2 Game of the Year]  Five years ago Carl Johnson escaped from the pressures of life in Los Santos, San Andreas... a city tearing itself apart with gang trouble, drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers. Now, it's the early 90s. Carl's got to go home. His mother has been murdered, his family has fallen apart and his childhood friends are all heading towards disaster. On his return to the neighborhood, a couple of corrupt cops frame him for homicide. CJ is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets. [Rockstar]","Rockstar North","Rockstar Games","PlayStation 2, PC, Xbox, iOS (iPhone/iPad), Xbox 360, PlayStation 3, PlayStation 4","Open-World Action"
"Grand Theft Auto: Vice City","https://www.metacritic.com/game/grand-theft-auto-vice-city/","95",2002-10-29,"[Metacritic's 2002 PS2 Game of the Year ] Welcome to Vice City. Welcome to the 1980s. Having just made it back onto the streets of Liberty City after a long stretch in maximum security, Tommy Vercetti is sent to Vice City by his old boss, Sonny Forelli. They were understandably nervous about his re-appearance in Liberty City, so a trip down south seemed like a good idea. But all does not go smoothly upon his arrival in the glamorous, hedonistic metropolis of Vice City. He's set up and is left with no money and no merchandise. Sonny wants his money back, but the biker gangs, Cuban gangsters, and corrupt politicians stand in his way. Most of Vice City seems to want Tommy dead. His only answer is to fight back and take over the city himself. Vice City offers vehicular pleasures to suit every taste. For the speed enthusiast, there's high-performance cars and motorbikes. For the sportsman, a powerboat or a golf buggy lets you enjoy the great outdoors. For those that need that sense of freedom and escape, why not charter a helicopter and see the beauty of Vice City from the air? [Rockstar]","Rockstar North","Rockstar Games","PlayStation 2, PC, Xbox, PlayStation 4","Open-World Action"
"LittleBigPlanet","https://www.metacritic.com/game/littlebigplanet/","95",2008-10-27,"In LittleBigPlanet Players meet on a blue and green planet scattered with individual plots – and use their character's amazing abilities to play, create and share what they build with other gamers throughout the world via the Playstation Network. The LittleBigPlanet experience starts with players learning about their character’s powers to interact physically with the environment. There are places to explore, creative resources to collect and puzzles to solve – all requiring a combination of brains and collaborative teamwork. As soon as players begin their creative skills will grow and they will soon be ready to start creating and modifying their surroundings – the first step to sharing them with the whole community.Characters have the power to move anything in this glued and stitched-together 3D landscape; they have the power to design, shape and build both objects and entire locations for others to view and play. There’s no complicated level editor; all of these skills can be learned by simply playing the game. Creativity is part of the gameplay experience and playing is part of the creative experience. Players can make their world as open or as secretive to explore as they like. When it’s ready, they can invite anyone within the LittleBigPlanet community to come and explore their patch – or can go and explore everybody else's. [SCEA]","Media Molecule, SCE/WWS","SCEA","PlayStation 3, PSP","2D Platformer"
"The Legend of Zelda Collector's Edition","https://www.metacritic.com/game/the-legend-of-zelda-collectors-edition/","95",2003-11-17,"The greatest legend in gaming! The ultimate Zelda collection!

- The Legend of Zelda: Play the game that launched the legend! With an innovative and unique game-play system, remarkably deep puzzle solving, and an epic score, the appeal of this groundbreaking classic is still going strong.

- Zelda II - The Adventure of Link: While adhering to the majestic and puzzle-solving elements of the Legend of Zelda, the second game in the series expands on the action sequences and introduces a new magic system, pushing the series in a new direction.

- The Legend of Zelda: Ocarina of Time: Zelda moved into three dimensions with gorgeous cinematics, hordes of hostile enemies, the revolutionary targeting system, and the freedom of traveling on horseback. Ocarina of Time leaves all who play it breathless and impressed.

- The Legend of Zelda: Majora's Mask: The series again takes a dramatic turn from tradition as Link wanders into a three-day journey in a mysterious parallel world. Majora's Mask challenges players to don magical masks and save a town threatened to be crushed under a menacing moon.

Includes Playable Demo for The Legend of Zelda: The Wind Waker!","Nintendo","Nintendo","GameCube","Compilation"
"Gran Turismo 3: A-Spec","https://www.metacritic.com/game/gran-turismo-3-a-spec/","95",2001-07-09,"With the addition of two new courses (a downtown Tokyo circuit and the Monte Carlo Grand Prix course), an impressive range of cars (from Vipers to Cooper Minis), and a soundtrack featuring everything from Lenny Kravitz to Jimi Hendrix, this highly anticipated title is finally ready to be driven.","Polyphony Digital","SCEA","PlayStation 2","Auto Racing Sim"
"Halo 2","https://www.metacritic.com/game/halo-2/","95",2004-11-09,"The Covenant alien race threatens to destroy all humankind, and the only thing standing in its way is Master Chief, a genetically enhanced supersoldier. Master Chief returns in Halo 2, which features new vehicles, weapons, environments, and more. This time, you can interact with your environment, wield two weapons at the same time, board opponents' vehicles, and even switch sides to play the role of a Covenant Elite. Halo 2 also supports broadband multiplayer action via Xbox Live.","Bungie","Microsoft Game Studios","Xbox, PC","FPS"
"The Legend of Zelda: Majora's Mask","https://www.metacritic.com/game/the-legend-of-zelda-majoras-mask/","95",2000-10-25,"Thrown into a parallel world by the mischievous actions of a possessed Skull Kid, Link finds a land in grave danger. The dark power of a relic called Majora's Mask has wreaked havoc on the citizens of Termina, but their most urgent problem is a suicidal moon crashing toward the world. Link has only 72 hours to find a way to stop its descent.","Nintendo","Nintendo","Nintendo 64","Open-World Action"
"The Legend of Zelda: A Link to the Past / Four Swords","https://www.metacritic.com/game/the-legend-of-zelda-a-link-to-the-past-four-swords/","95",2002-12-03,"Now you have a link to one of the greatest adventures in The Legend of Zelda series.  The Legend of Zelda: A Link to the Past revives the classic SNES game on the Game Boy Advance and adds a new multiplayer mode.  In a Link to the Past, Link travels between the light world and the dark world, conquering fierce monsters and uncovering Hyrule's deepest secrets along the way.  Also included is Four Swords, which lets you play with up to three other players, slashing through dungeons and collecting rupees.  Whether you choose solo or competitive play, The Legend of Zelda will keep you occupied with its brain-bending puzzles and fun swashbuckling action.","Nintendo","Nintendo","Game Boy Advance","Open-World Action"
"The Last of Us","https://www.metacritic.com/game/the-last-of-us/","95",2013-06-14,"Twenty years after a pandemic radically transformed known civilization, infected humans run amuck and survivors kill one another for sustenance and weapons - literally whatever they can get their hands on. Joel, a salty survivor, is hired to smuggle a fourteen-year-old girl, Ellie, out of a rough military quarantine, but what begins as a simple job quickly turns into a brutal journey across the country.","Naughty Dog","SCEA","PlayStation 3","Linear Action Adventure"
